age,Gender,car
32,Male,S5
51,Female,Savana 2500
69,Male,Firebird
47,Male,9-5
21,Female,Forester
35,Male,D150 Club
9,Female,XL-7
31,Female,Express
20,Male,Neon
44,Female,Ram 1500
22,Female,I
66,Female,Crown Victoria
5,Female,Range Rover
25,Female,Suburban 1500
23,Male,LTD Crown Victoria
34,Female,Tahoe
21,Female,CL-Class
55,Male,Monte Carlo
17,Male,Econoline E350
42,Female,Econoline E250
57,Female,6000
49,Male,A8
10,Male,MX-5
50,Male,Regal
44,Female,QX
48,Female,Elan
22,Male,240SX
22,Female,ES
46,Female,Arnage
20,Male,Mirage
67,Male,Charger
27,Female,Accord
21,Male,Astro
65,Female,GS
59,Male,Matrix
60,Female,Quattroporte
5,Female,Mariner
58,Female,GT500
25,Female,Milan
33,Female,Mustang
34,Male,F450
65,Male,Expedition
59,Male,Intrepid
9,Female,4Runner
50,Male,G-Series G30
32,Female,Savana 1500
19,Male,Continental
16,Male,GTI
26,Male,Precis
9,Male,Quattro
63,Male,Toronado
57,Male,M-Class
70,Female,MPV
62,Male,Passport
51,Male,Ram 1500
36,Male,Prius
61,Male,Daytona
53,Female,Trans Sport
58,Male,Diamante
29,Female,Express
7,Male,Xtra
11,Female,Montero
47,Female,98
61,Male,Quattroporte
16,Male,Grand Prix
33,Male,TSX
8,Male,Vandura G3500
64,Female,80
66,Female,Ciera
56,Male,rio
31,Male,Azera
43,Female,M Roadster
64,Male,Elantra
23,Female,J
47,Male,Suburban 1500
42,Male,Ram Van B150
51,Male,Compass
10,Male,H2
9,Male,Savana 3500
14,Female,911
15,Female,Lumina
70,Male,Sorento
42,Male,Quattroporte
42,Female,Villager
47,Male,Tacoma Xtra
65,Female,LeMans
32,Male,Caravan
60,Female,Vision
66,Male,Esteem
10,Male,XLR
34,Male,Talon
51,Male,CLK-Class
54,Male,Montero
9,Female,G8
61,Female,207
4,Female,Samurai
50,Male,Taurus
16,Female,Elise
70,Male,1500
54,Male,HS
